,county,ghi,fips
0,Accomack County,121680.51573637752,51001
1,Albemarle County,119232.1522042319,51003
2,Alexandria City,115228.0984991502,51510
3,Alleghany County,115615.39026231272,51005
4,Amelia County,121678.64779641635,51007
5,Amherst County,121322.31939268779,51009
6,Appomattox County,122869.49165033792,51011
7,Arlington County,115532.65107902075,51013
8,Augusta County,120124.17112991713,51015
9,Bath County,116387.092297228,51017
10,Bedford City,122475.009982789,51515
11,Bedford County,122076.27085437647,51019
12,Bland County,115324.84212914814,51021
13,Botetourt County,118432.61106416635,51023
14,Bristol City,119358.39549066316,51520
15,Brunswick County,122886.94938341907,51025
16,Buchanan County,114402.06437041881,51027
17,Buckingham County,121140.73232283271,51029
18,Buena Vista City,,51530
19,Campbell County,123295.61944849139,51031
20,Caroline County,118762.63285890922,51033
21,Carroll County,120144.60828050834,51035
22,Charles City County,120474.85932983427,51036
23,Charlotte County,123507.21092971985,51037
24,Charlottesville City,118585.30499390677,51540
25,Chesapeake City,121567.44757767997,51550
26,Chesterfield County,121132.19457765404,51041
27,Clarke County,115304.56899069708,51043
28,Colonial Heights City,,51570
29,Covington City,114363.58306196833,51580
30,Craig County,116092.18070824242,51045
31,Culpeper County,117667.09384353326,51047
32,Cumberland County,121036.90653380343,51049
33,Danville City,123931.04000115396,51590
34,Dickenson County,115507.85967120249,51051
35,Dinwiddie County,121978.73347772584,51053
36,Emporia City,122109.08087969029,51595
37,Essex County,119105.32075870864,51057
38,Fairfax City,114894.62521872674,51600
39,Fairfax County,115482.05198232766,51059
40,Falls Church City,115191.4782782102,51610
41,Fauquier County,116575.86833136244,51061
42,Floyd County,121284.97586581713,51063
43,Fluvanna County,119796.67675358086,51065
44,Franklin City,122898.35460814262,51620
45,Franklin County,121877.69181331576,51067
46,Frederick County,113575.00585212994,51069
47,Fredericksburg City,117010.73849368536,51630
48,Galax City,120414.67440485329,51640
49,Giles County,115247.6528861893,51071
50,Gloucester County,120439.3473938298,51073
51,Goochland County,120291.21015383503,51075
52,Grayson County,119463.39145581525,51077
53,Greene County,117676.12226526337,51079
54,Greensville County,122720.86990372013,51081
55,Halifax County,123391.28484827153,51083
56,Hampton City,121689.5223526765,51650
57,Hanover County,120031.5983403829,51085
58,Harrisonburg City,118404.20911475003,51660
59,Henrico County,120053.92685369881,51087
60,Henry County,122556.82602175757,51089
61,Highland County,116611.48052353234,51091
62,Hopewell City,120564.3329707148,51670
63,Isle of Wight County,122353.571287945,51093
64,James City County,120311.04569095712,51095
65,King George County,117594.01756134702,51099
66,King William County,119987.78503693329,51101
67,King and Queen County,119965.82458518156,51097
68,Lancaster County,121172.7957851954,51103
69,Lee County,117200.11980954537,51105
70,Lexington City,,51678
71,Loudoun County,114730.62651056952,51107
72,Louisa County,119610.32160431979,51109
73,Lunenburg County,123424.18915823768,51111
74,Lynchburg City,121685.05587220578,51680
75,Madison County,117500.089511455,51113
76,Manassas City,114904.0904824638,51683
77,Manassas Park City,,51685
78,Martinsville City,122105.43904308057,51690
79,Mathews County,121336.47207896711,51115
80,Mecklenburg County,123929.55792935741,51117
81,Middlesex County,120431.60296652326,51119
82,Montgomery County,119159.20073563329,51121
83,Nelson County,120210.46248098201,51125
84,New Kent County,120244.36284448113,51127
85,Newport News City,121234.15188529693,51700
86,Norfolk City,121338.87240948262,51710
87,Northampton County,122033.20919267974,51131
88,Northumberland County,120867.96547940951,51133
89,Norton City,115723.31296753258,51720
90,Nottoway County,122592.27371861604,51135
91,Orange County,119103.96930858646,51137
92,Page County,116989.1338205461,51139
93,Patrick County,120848.92996026124,51141
94,Petersburg City,120993.64899950102,51730
95,Pittsylvania County,123450.06127271101,51143
96,Poquoson City,121460.31664072337,51735
97,Portsmouth City,120687.70914187201,51740
98,Powhatan County,120780.20701070105,51145
99,Prince Edward County,122687.53226645885,51147
100,Prince George County,120886.70176498941,51149
101,Prince William County,116139.72934117934,51153
102,Pulaski County,118663.55853528426,51155
103,Radford City,118748.94347524276,51750
104,Rappahannock County,116028.78371897846,51157
105,Richmond City,119503.55669276575,51760
106,Richmond County,119823.00672569123,51159
107,Roanoke City,118938.39618297757,51770
108,Roanoke County,119038.61148658769,51161
109,Rockbridge County,119891.91998669863,51163
110,Rockingham County,117304.59462403606,51165
111,Russell County,116823.44994130894,51167
112,Salem City,118802.17854900743,51775
113,Scott County,118800.34768676809,51169
114,Shenandoah County,115215.48334214783,51171
115,Smyth County,117361.02432165205,51173
116,Southampton County,122843.94742425025,51175
117,Spotsylvania County,118683.68949331893,51177
118,Stafford County,117239.26762596988,51179
119,Staunton City,121168.77594696263,51790
120,Suffolk City,122551.27013086891,51800
121,Surry County,121440.7179949033,51181
122,Sussex County,121746.8587805173,51183
123,Tazewell County,115059.61894069202,51185
124,Virginia Beach City,121016.10156144455,51810
125,Warren County,115933.91720907367,51187
126,Washington County,118780.13652663228,51191
127,Waynesboro City,120059.937820364,51820
128,Westmoreland County,119441.01920526195,51193
129,Williamsburg City,,51830
130,Winchester City,113737.73352425164,51840
131,Wise County,115573.88865293772,51195
132,Wythe County,118645.603069546,51197
133,York County,120290.49407132274,51199
