,county,ind,forecast
0,Accomack County,7469.9,6.1
1,Albemarle County,7346.2,7.7
2,Alexandria City,7156.1,5.1
3,Alleghany County,7777.2,6.6
4,Amelia County,7355.0,6.4
5,Amherst County,7848.3,6.0
6,Appomattox County,7789.8,4.1
7,Arlington County,7145.0,4.2
8,Augusta County,7721.1,6.6
9,Bath County,7812.7,5.4
10,Bedford City,0.0,Not Available
11,Bedford County,7755.9,7.0
12,Bland County,7754.5,5.0
13,Botetourt County,7654.7,4.4
14,Bristol City,7701.5,5.9
15,Brunswick County,7573.4,5.8
16,Buchanan County,7886.2,4.9
17,Buckingham County,7598.5,7.4
18,Buena Vista City,7785.0,6.0
19,Campbell County,7844.3,6.3
20,Caroline County,7223.3,6.6
21,Carroll County,7761.0,7.4
22,Charles City County,7348.0,6.2
23,Charlotte County,7609.6,4.6
24,Charlottesville City,151.0,8.7
25,Chesapeake City,7457.5,7.8
26,Chesterfield County,7462.7,7.5
27,Clarke County,6919.8,6.4
28,Colonial Heights City,7550.0,6.8
29,Commonwealth of Virginia,0.0,Not Available
30,Covington City,0.0,Not Available
31,Craig County,7672.0,6.3
32,Culpeper County,7218.6,7.9
33,Cumberland County,7350.3,6.2
34,Danville City,5295.0,6.5
35,Dickenson County,7715.5,4.6
36,Dinwiddie County,7563.2,6.3
37,Emporia City,0.0,Not Available
38,Essex County,7201.0,6.1
39,Fairfax City,0.0,Not Available
40,Fairfax County,7033.3,5.1
41,Falls Chruch City,0.0,Not Available
42,Fauquier County,6921.1,7.7
43,Floyd County,7679.5,5.7
44,Fluvanna County,7352.4,6.1
45,Franklin City,7564.0,6.3
46,Franklin County,7669.1,8.0
47,Frederick County,7223.6,8.9
48,Fredericksburg City,0.0,Not Available
49,Galax City,0.0,Not Available
50,Giles County,7675.0,6.0
51,Gloucester County,7366.7,5.8
52,Goochland County,7379.7,5.9
53,Grayson County,7761.4,6.1
54,Greene County,7308.7,6.0
55,Greensville County,7569.0,6.0
56,Halifax County,7856.9,6.6
57,Hampton City,7526.2,7.8
58,Hanover County,7376.8,7.6
59,Harrisonburg City,5542.2,4.6
60,Henrico County,7416.1,6.8
61,Henry County,7663.4,6.1
62,Highland County,7796.2,6.2
63,Hopewell City,7567.0,6.5
64,Isle of Wight County,7496.4,6.2
65,James City County,7420.7,7.9
66,King George County,7181.0,5.9
67,King William County,7391.8,6.7
68,King and Queen County,7395.5,6.6
69,Lancaster County,7196.8,6.1
70,Lee County,7725.1,6.1
71,Lexington City,0.0,Not Available
72,Loudoun County,6633.3,7.0
73,Louisa County,7358.5,6.9
74,Lunenburg County,7610.8,6.2
75,Lynchburg City,6355.8,8.6
76,Madison County,7251.9,6.5
77,Manassas City,0.0,Not Available
78,Manassas Park City,6614.0,6.7
79,Martinsville City,511.0,6.4
80,Mathews County,7378.2,6.2
81,Mecklenburg County,7648.5,6.7
82,Middlesex County,7388.4,6.1
83,Montgomery County,7662.4,6.4
84,Nelson County,7482.8,6.6
85,New Kent County,7385.2,6.0
86,Newport News City,7519.0,9.2
87,Norfolk City,7509.5,8.0
88,Northampton County,7462.7,3.3
89,Northumberland County,7184.3,5.9
90,Norton City,7734.0,5.9
91,Nottoway County,7579.3,6.6
92,Orange County,7236.7,8.8
93,Page County,7278.5,4.2
94,Patrick County,7666.6,7.0
95,Petersburg City,7539.5,6.8
96,Pittsylvania County,7811.1,6.1
97,Poquoson City,7525.0,5.7
98,Portsmouth City,7536.0,8.3
99,Powhatan County,7404.0,6.1
100,Prince Edward County,7607.7,6.7
101,Prince George County,7565.0,6.3
102,Prince William County,6877.7,7.5
103,Pulaski County,7728.2,6.3
104,Radford City,7664.0,6.7
105,Rappahannock County,7245.3,5.8
106,Richmond City,6818.4,7.7
107,Richmond County,7193.0,5.8
108,Roanoke City,6934.0,8.9
109,Roanoke County,7659.0,8.2
110,Rockbridge County,7816.9,6.1
111,Rockingham County,7346.9,6.1
112,Russell County,7752.7,6.3
113,Salem City,7688.0,6.4
114,Scott County,7727.0,6.6
115,Shenandoah County,7260.4,6.3
116,Smyth County,7762.8,5.8
117,Southampton County,7557.2,7.2
118,Spotsylvania County,7178.5,8.4
119,Stafford County,7203.5,8.0
120,Staunton City,4285.0,6.8
121,Suffolk City,7488.0,7.4
122,Surry County,7572.0,5.9
123,Sussex County,7582.8,6.8
124,Tazewell County,7865.2,5.6
125,Virginia Beach City,6832.7,8.0
126,Warren County,7220.3,8.8
127,Washington County,7730.6,4.5
128,Waynesboro City,7335.0,6.1
129,Westmoreland County,7183.8,6.3
130,Williamsburg City,0.0,Not Available
131,Winchester City,890.0,10.4
132,Wise County,7720.5,5.1
133,Wythe County,7764.4,5.9
134,York County,7531.5,7.9
